Time,altitude via coords,altitude via ecc ano,altitude via true ano
585,538296.780079,538296.780079,538296.780079
586,538301.096135,538301.096135,538301.096135
587,538305.446651,538305.446651,538305.446651
588,538309.831622,538309.831622,538309.831622
589,538314.251043,538314.251043,538314.251043
590,538318.704909,538318.704909,538318.704909
591,538323.193215,538323.193215,538323.193215
592,538327.715953,538327.715953,538327.715953
593,538332.273120,538332.273120,538332.273120
594,538336.864710,538336.864710,538336.864710
595,538341.490717,538341.490717,538341.490717
596,538346.151135,538346.151135,538346.151135
597,538350.845958,538350.845958,538350.845958
598,538355.575181,538355.575181,538355.575181
599,538360.338799,538360.338799,538360.338799
600,538365.136804,538365.136804,538365.136804
601,538369.969192,538369.969192,538369.969192
602,538374.835957,538374.835957,538374.835957
603,538379.737092,538379.737092,538379.737092
604,538384.672591,538384.672591,538384.672591
605,538389.642449,538389.642449,538389.642449
606,538394.646659,538394.646659,538394.646659
607,538399.685216,538399.685216,538399.685216
608,538404.758113,538404.758113,538404.758113
609,538409.865343,538409.865343,538409.865343
610,538415.006901,538415.006901,538415.006901
611,538420.182781,538420.182781,538420.182781
612,538425.392976,538425.392976,538425.392976
613,538430.637479,538430.637479,538430.637479
614,538435.916284,538435.916284,538435.916284
615,538441.229386,538441.229386,538441.229386
616,538446.576776,538446.576776,538446.576776
617,538451.958450,538451.958450,538451.958450
618,538457.374399,538457.374399,538457.374399
619,538462.824618,538462.824618,538462.824618
620,538468.309100,538468.309100,538468.309100
621,538473.827838,538473.827838,538473.827838
622,538479.380826,538479.380826,538479.380826
623,538484.968056,538484.968056,538484.968056
624,538490.589522,538490.589522,538490.589522
625,538496.245216,538496.245216,538496.245216
626,538501.935133,538501.935133,538501.935133
627,538507.659265,538507.659265,538507.659265
628,538513.417605,538513.417605,538513.417605
629,538519.210145,538519.210145,538519.210145
630,538525.036880,538525.036880,538525.036880
631,538530.897801,538530.897801,538530.897801
632,538536.792903,538536.792903,538536.792903
633,538542.722176,538542.722176,538542.722176
