Time,altitude via 2D coords,altitude via 3D coords,altitude via ecc ano,altitude via true ano
209,424219.047077,421762.211195,424219.047077,424219.047077
210,424223.903740,421763.470516,424223.903740,424223.903740
211,424228.760562,421764.727367,424228.760562,424228.760562
212,424233.617536,421765.981742,424233.617536,424233.617536
213,424238.474656,421767.233634,424238.474656,424238.474656
214,424243.331915,421768.483036,424243.331915,424243.331915
215,424248.189309,421769.729944,424248.189309,424248.189309
216,424253.046829,421770.974350,424253.046829,424253.046829
217,424257.904471,421772.216249,424257.904471,424257.904471
218,424262.762228,421773.455635,424262.762228,424262.762228
219,424267.620093,421774.692500,424267.620093,424267.620093
220,424272.478062,421775.926840,424272.478062,424272.478062
221,424277.336127,421777.158647,424277.336127,424277.336127
222,424282.194282,421778.387917,424282.194282,424282.194282
223,424287.052522,421779.614642,424287.052522,424287.052522
224,424291.910840,421780.838816,424291.910840,424291.910840
225,424296.769229,421782.060434,424296.769229,424296.769229
226,424301.627684,421783.279488,424301.627684,424301.627684
227,424306.486199,421784.495974,424306.486199,424306.486199
228,424311.344767,421785.709884,424311.344767,424311.344767
229,424316.203382,421786.921214,424316.203382,424316.203382
230,424321.062039,421788.129955,424321.062039,424321.062039
231,424325.920730,421789.336103,424325.920730,424325.920730
232,424330.779449,421790.539651,424330.779449,424330.779449
233,424335.638192,421791.740593,424335.638192,424335.638192
234,424340.496950,421792.938922,424340.496950,424340.496950
235,424345.355719,421794.134634,424345.355719,424345.355719
236,424350.214492,421795.327721,424350.214492,424350.214492
237,424355.073262,421796.518177,424355.073262,424355.073262
238,424359.932024,421797.705996,424359.932024,424359.932024
239,424364.790772,421798.891172,424364.790772,424364.790772
240,424369.649499,421800.073699,424369.649499,424369.649499
241,424374.508199,421801.253571,424374.508199,424374.508199
242,424379.366865,421802.430781,424379.366865,424379.366865
243,424384.225493,421803.605324,424384.225493,424384.225493
244,424389.084075,421804.777193,424389.084075,424389.084075
245,424393.942606,421805.946382,424393.942606,424393.942606
246,424398.801079,421807.112884,424398.801079,424398.801079
247,424403.659488,421808.276695,424403.659488,424403.659488
248,424408.517827,421809.437807,424408.517827,424408.517827
249,424413.376090,421810.596214,424413.376090,424413.376090
250,424418.234270,421811.751910,424418.234270,424418.234270
251,424423.092362,421812.904890,424423.092362,424423.092362
252,424427.950359,421814.055146,424427.950359,424427.950359
253,424432.808254,421815.202673,424432.808254,424432.808254
254,424437.666043,421816.347465,424437.666043,424437.666043
255,424442.523719,421817.489515,424442.523719,424442.523719
256,424447.381275,421818.628817,424447.381275,424447.381275
257,424452.238705,421819.765366,424452.238705,424452.238705
258,424457.096004,421820.899154,424457.096004,424457.096004
259,424461.953165,421822.030176,424461.953165,424461.953165
260,424466.810181,421823.158426,424466.810181,424466.810181
261,424471.667048,421824.283897,424471.667048,424471.667048
262,424476.523757,421825.406583,424476.523757,424476.523757
263,424481.380305,421826.526479,424481.380305,424481.380305
264,424486.236683,421827.643577,424486.236683,424486.236683
265,424491.092886,421828.757873,424491.092886,424491.092886
266,424495.948909,421829.869359,424495.948909,424495.948909
267,424500.804743,421830.978029,424500.804743,424500.804743
268,424505.660385,421832.083878,424505.660385,424505.660385
269,424510.515827,421833.186899,424510.515827,424510.515827
270,424515.371063,421834.287086,424515.371063,424515.371063
271,424520.226087,421835.384432,424520.226087,424520.226087
272,424525.080893,421836.478933,424525.080893,424525.080893
273,424529.935474,421837.570581,424529.935474,424529.935474
274,424534.789825,421838.659370,424534.789825,424534.789825
275,424539.643940,421839.745295,424539.643940,424539.643940
276,424544.497811,421840.828349,424544.497811,424544.497811
277,424549.351434,421841.908525,424549.351434,424549.351434
278,424554.204801,421842.985819,424554.204801,424554.204801
279,424559.057908,421844.060223,424559.057908,424559.057908
280,424563.910746,421845.131731,424563.910746,424563.910746
281,424568.763311,421846.200338,424568.763311,424568.763311
282,424573.615597,421847.266037,424573.615597,424573.615597
283,424578.467596,421848.328822,424578.467596,424578.467596
284,424583.319303,421849.388687,424583.319303,424583.319303
285,424588.170712,421850.445626,424588.170712,424588.170712
286,424593.021817,421851.499632,424593.021817,424593.021817
287,424597.872611,421852.550699,424597.872611,424597.872611
288,424602.723088,421853.598822,424602.723088,424602.723088
289,424607.573242,421854.643993,424607.573242,424607.573242
290,424612.423067,421855.686208,424612.423067,424612.423067
291,424617.272557,421856.725460,424617.272557,424617.272557
292,424622.121706,421857.761742,424622.121706,424622.121706
293,424626.970507,421858.795048,424626.970507,424626.970507
294,424631.818954,421859.825373,424631.818954,424631.818954
295,424636.667041,421860.852711,424636.667041,424636.667041
296,424641.514763,421861.877054,424641.514763,424641.514763
297,424646.362112,421862.898397,424646.362112,424646.362112
298,424651.209083,421863.916734,424651.209083,424651.209083
299,424656.055669,421864.932058,424656.055669,424656.055669
300,424660.901864,421865.944364,424660.901864,424660.901864
301,424665.747663,421866.953646,424665.747663,424665.747663
302,424670.593059,421867.959896,424670.593059,424670.593059
303,424675.438046,421868.963110,424675.438046,424675.438046
304,424680.282617,421869.963280,424680.282617,424680.282617
305,424685.126768,421870.960401,424685.126768,424685.126768
306,424689.970490,421871.954467,424689.970490,424689.970490
307,424694.813779,421872.945471,424694.813779,424694.813779
308,424699.656628,421873.933408,424699.656628,424699.656628
309,424704.499031,421874.918271,424704.499031,424704.499031
310,424709.340981,421875.900053,424709.340981,424709.340981
311,424714.182474,421876.878750,424714.182474,424714.182474
312,424719.023502,421877.854355,424719.023502,424719.023502
313,424723.864059,421878.826861,424723.864059,424723.864059
314,424728.704140,421879.796262,424728.704140,424728.704140
315,424733.543737,421880.762553,424733.543737,424733.543737
316,424738.382846,421881.725727,424738.382846,424738.382846
317,424743.221459,421882.685779,424743.221459,424743.221459
318,424748.059571,421883.642701,424748.059571,424748.059571
319,424752.897176,421884.596488,424752.897176,424752.897176
320,424757.734267,421885.547134,424757.734267,424757.734267
321,424762.570838,421886.494632,424762.570838,424762.570838
322,424767.406883,421887.438977,424767.406883,424767.406883
323,424772.242396,421888.380162,424772.242396,424772.242396
324,424777.077371,421889.318181,424777.077371,424777.077371
325,424781.911802,421890.253028,424781.911802,424781.911802
326,424786.745682,421891.184697,424786.745682,424786.745682
327,424791.579006,421892.113182,424791.579006,424791.579006
328,424796.411766,421893.038477,424796.411766,424796.411766
329,424801.243958,421893.960575,424801.243958,424801.243958
330,424806.075575,421894.879470,424806.075575,424806.075575
331,424810.906611,421895.795157,424810.906611,424810.906611
332,424815.737059,421896.707629,424815.737059,424815.737059
333,424820.566914,421897.616880,424820.566914,424820.566914
334,424825.396170,421898.522904,424825.396170,424825.396170
335,424830.224820,421899.425694,424830.224820,424830.224820
336,424835.052858,421900.325246,424835.052858,424835.052858
337,424839.880278,421901.221551,424839.880278,424839.880278
338,424844.707074,421902.114606,424844.707074,424844.707074
339,424849.533239,421903.004402,424849.533239,424849.533239
340,424854.358769,421903.890935,424854.358769,424854.358769
341,424859.183655,421904.774198,424859.183655,424859.183655
342,424864.007894,421905.654184,424864.007894,424864.007894
343,424868.831477,421906.530889,424868.831477,424868.831477
344,424873.654400,421907.404305,424873.654400,424873.654400
345,424878.476656,421908.274427,424878.476656,424878.476656
346,424883.298239,421909.141248,424883.298239,424883.298239
347,424888.119142,421910.004763,424888.119142,424888.119142
348,424892.939360,421910.864965,424892.939360,424892.939360
349,424897.758887,421911.721848,424897.758887,424897.758887
350,424902.577716,421912.575407,424902.577716,424902.577716
351,424907.395842,421913.425634,424907.395842,424907.395842
352,424912.213257,421914.272524,424912.213257,424912.213257
353,424917.029957,421915.116070,424917.029957,424917.029957
354,424921.845935,421915.956268,424921.845935,424921.845935
355,424926.661184,421916.793110,424926.661184,424926.661184
356,424931.475699,421917.626590,424931.475699,424931.475699
357,424936.289474,421918.456703,424936.289474,424936.289474
358,424941.102503,421919.283442,424941.102503,424941.102503
359,424945.914779,421920.106801,424945.914779,424945.914779
360,424950.726296,421920.926774,424950.726296,424950.726296
361,424955.537048,421921.743354,424955.537048,424955.537048
362,424960.347029,421922.556537,424960.347029,424960.347029
363,424965.156234,421923.366316,424965.156234,424965.156234
364,424969.964655,421924.172684,424969.964655,424969.964655
365,424974.772287,421924.975635,424974.772287,424974.772287
366,424979.579123,421925.775164,424979.579123,424979.579123
367,424984.385158,421926.571265,424984.385158,424984.385158
368,424989.190386,421927.363930,424989.190386,424989.190386
369,424993.994800,421928.153155,424993.994800,424993.994800
370,424998.798394,421928.938933,424998.798394,424998.798394
371,425003.601162,421929.721258,425003.601162,425003.601162
372,425008.403099,421930.500124,425008.403099,425008.403099
373,425013.204197,421931.275524,425013.204197,425013.204197
374,425018.004451,421932.047454,425018.004451,425018.004451
375,425022.803855,421932.815905,425022.803855,425022.803855
376,425027.602403,421933.580874,425027.602403,425027.602403
377,425032.400088,421934.342353,425032.400088,425032.400088
378,425037.196904,421935.100336,425037.196904,425037.196904
379,425041.992846,421935.854818,425041.992846,425041.992846
380,425046.787908,421936.605792,425046.787908,425046.787908
381,425051.582082,421937.353252,425051.582082,425051.582082
382,425056.375364,421938.097192,425056.375364,425056.375364
383,425061.167747,421938.837607,425061.167747,425061.167747
384,425065.959225,421939.574489,425065.959225,425065.959225
385,425070.749791,421940.307833,425070.749791,425070.749791
386,425075.539441,421941.037633,425075.539441,425075.539441
387,425080.328167,421941.763882,425080.328167,425080.328167
388,425085.115964,421942.486576,425085.115964,425085.115964
389,425089.902825,421943.205707,425089.902825,425089.902825
390,425094.688745,421943.921269,425094.688745,425094.688745
391,425099.473717,421944.633257,425099.473717,425099.473717
392,425104.257736,421945.341664,425104.257736,425104.257736
393,425109.040795,421946.046485,425109.040795,425109.040795
394,425113.822888,421946.747712,425113.822888,425113.822888
395,425118.604009,421947.445341,425118.604009,425118.604009
396,425123.384153,421948.139366,425123.384153,425123.384153
397,425128.163312,421948.829779,425128.163312,425128.163312
398,425132.941481,421949.516575,425132.941481,425132.941481
399,425137.718654,421950.199749,425137.718654,425137.718654
400,425142.494825,421950.879293,425142.494825,425142.494825
401,425147.269988,421951.555202,425147.269988,425147.269988
402,425152.044136,421952.227470,425152.044136,425152.044136
403,425156.817264,421952.896091,425156.817264,425156.817264
404,425161.589365,421953.561059,425161.589365,425161.589365
405,425166.360434,421954.222367,425166.360434,425166.360434
406,425171.130464,421954.880010,425171.130464,425171.130464
407,425175.899450,421955.533981,425175.899450,425175.899450
408,425180.667385,421956.184275,425180.667385,425180.667385
409,425185.434263,421956.830886,425185.434263,425185.434263
410,425190.200079,421957.473807,425190.200079,425190.200079
411,425194.964825,421958.113032,425194.964825,425194.964825
412,425199.728497,421958.748556,425199.728497,425199.728497
413,425204.491088,421959.380372,425204.491088,425204.491088
414,425209.252592,421960.008474,425209.252592,425209.252592
415,425214.013003,421960.632857,425214.013003,425214.013003
416,425218.772315,421961.253514,425218.772315,425218.772315
417,425223.530521,421961.870440,425223.530521,425223.530521
418,425228.287617,421962.483627,425228.287617,425228.287617
419,425233.043596,421963.093071,425233.043596,425233.043596
420,425237.798451,421963.698764,425237.798451,425237.798451
421,425242.552177,421964.300702,425242.552177,425242.552177
422,425247.304768,421964.898878,425247.304768,425247.304768
423,425252.056217,421965.493286,425252.056217,425252.056217
424,425256.806519,421966.083921,425256.806519,425256.806519
425,425261.555668,421966.670775,425261.555668,425261.555668
426,425266.303657,421967.253843,425266.303657,425266.303657
427,425271.050481,421967.833119,425271.050481,425271.050481
428,425275.796133,421968.408597,425275.796133,425275.796133
429,425280.540608,421968.980272,425280.540608,425280.540608
430,425285.283900,421969.548136,425285.283900,425285.283900
431,425290.026002,421970.112184,425290.026002,425290.026002
432,425294.766908,421970.672410,425294.766908,425294.766908
433,425299.506613,421971.228808,425299.506613,425299.506613
434,425304.245110,421971.781372,425304.245110,425304.245110
435,425308.982394,421972.330096,425308.982394,425308.982394
436,425313.718458,421972.874974,425313.718458,425313.718458
437,425318.453296,421973.415999,425318.453296,425318.453296
438,425323.186903,421973.953167,425323.186903,425323.186903
439,425327.919272,421974.486471,425327.919272,425327.919272
440,425332.650398,421975.015904,425332.650398,425332.650398
441,425337.380274,421975.541462,425337.380274,425337.380274
442,425342.108894,421976.063137,425342.108894,425342.108894
443,425346.836253,421976.580925,425346.836253,425346.836253
444,425351.562344,421977.094818,425351.562344,425351.562344
445,425356.287162,421977.604811,425356.287162,425356.287162
446,425361.010699,421978.110899,425361.010699,425361.010699
447,425365.732952,421978.613074,425365.732952,425365.732952
448,425370.453912,421979.111332,425370.453912,425370.453912
449,425375.173575,421979.605665,425375.173575,425375.173575
450,425379.891934,421980.096069,425379.891934,425379.891934
451,425384.608984,421980.582536,425384.608984,425384.608984
452,425389.324718,421981.065062,425389.324718,425389.324718
453,425394.039131,421981.543640,425394.039131,425394.039131
454,425398.752216,421982.018264,425398.752216,425398.752216
455,425403.463967,421982.488929,425403.463967,425403.463967
456,425408.174379,421982.955627,425408.174379,425408.174379
457,425412.883446,421983.418354,425412.883446,425412.883446
