Time,altitude via coords,altitude via ecc ano,altitude via true ano
421,6792604.744958,6798413.622410,6798413.622410
422,6792601.291547,6798417.075820,6798417.075820
423,6792597.841829,6798420.525538,6798420.525538
424,6792594.395808,6798423.971559,6798423.971559
425,6792590.953488,6798427.413880,6798427.413880
426,6792587.514873,6798430.852495,6798430.852495
427,6792584.079967,6798434.287400,6798434.287400
428,6792580.648776,6798437.718592,6798437.718592
429,6792577.221303,6798441.146065,6798441.146065
430,6792573.797552,6798444.569815,6798444.569815
431,6792570.377529,6798447.989838,6798447.989838
432,6792566.961237,6798451.406130,6798451.406130
433,6792563.548681,6798454.818687,6798454.818687
434,6792560.139865,6798458.227503,6798458.227503
435,6792556.734793,6798461.632575,6798461.632575
436,6792553.333469,6798465.033898,6798465.033898
437,6792549.935899,6798468.431468,6798468.431468
438,6792546.542086,6798471.825281,6798471.825281
439,6792543.152035,6798475.215333,6798475.215333
440,6792539.765749,6798478.601618,6798478.601618
441,6792536.383234,6798481.984134,6798481.984134
442,6792533.004493,6798485.362875,6798485.362875
443,6792529.629530,6798488.737837,6798488.737837
444,6792526.258351,6798492.109017,6798492.109017
445,6792522.890959,6798495.476409,6798495.476409
446,6792519.527358,6798498.840009,6798498.840009
447,6792516.167554,6798502.199814,6798502.199814
448,6792512.811549,6798505.555819,6798505.555819
449,6792509.459349,6798508.908019,6798508.908019
450,6792506.110957,6798512.256411,6798512.256411
451,6792502.766378,6798515.600990,6798515.600990
452,6792499.425616,6798518.941752,6798518.941752
453,6792496.088675,6798522.278693,6798522.278693
454,6792492.755560,6798525.611808,6798525.611808
455,6792489.426274,6798528.941094,6798528.941094
456,6792486.100822,6798532.266545,6798532.266545
457,6792482.779209,6798535.588159,6798535.588159
458,6792479.461438,6798538.905930,6798538.905930
459,6792476.147513,6798542.219855,6798542.219855
460,6792472.837439,6798545.529928,6798545.529928
461,6792469.531220,6798548.836147,6798548.836147
462,6792466.228860,6798552.138507,6798552.138507
463,6792462.930364,6798555.437004,6798555.437004
464,6792459.635735,6798558.731633,6798558.731633
465,6792456.344977,6798562.022390,6798562.022390
